Standard_SMILES,IC50 (nM),pIC50,label
CCS(=N)(=O)C1=CC=C(NC2=NC=C(Br)C(N[C@@H](C)[C@H](C)O)=N2)C=C1,4,8.4,1
CCS(=N)(=O)C1=CC=C(NC2=NC=C(Br)C(N[C@H](C)C(C)(C)O)=N2)C=C1,5,8.3,1
COC[C@@H](NC1=NC(NC2=CC=C(S(C)(=N)=O)C=C2)=NC=C1Br)[C@@H](C)O,4,8.4,1
C[C@@H](NC1=NC(NC2=CC=C(S(=N)(=O)CCO)C=C2)=NC=C1Br)C(C)(C)O,4,8.4,1
C[C@H](NC1=NC(NC2=CC=C(S(=N)(=O)CCO)C=C2)=NC=C1Br)C(C)(C)O,4,8.4,1
C[C@@H](O)[C@@H](C)NC1=NC(NC2=CC=C(S(=N)(=O)CCO)C=C2)=NC=C1Br,3,8.52,1
C[C@H](O)[C@@H](C)NC1=NC(NC2=CC=C(S(=N)(=O)CCO)C=C2)=NC=C1Br,3,8.52,1
COC1=CC(NC2=NC=C(Br)C(N[C@H](C)[C@@H](C)O)=N2)=CC=C1S(C)(=N)=O,4,8.4,1
COC1=CC(NC2=NC=C(Br)C(N[C@H](C)[C@H](C)O)=N2)=CC=C1S(C)(=N)=O,3,8.52,1
CN=S(C)(=O)C1=CC=C(NC2=NC=C(Br)C(N[C@H](C)[C@@H](C)O)=N2)C=C1OC,4,8.4,1
CN=S(C)(=O)C1=CC=C(NC2=NC=C(Br)C(N[C@H](C)[C@H](C)O)=N2)C=C1OC,6,8.22,1
COC1=CC(NC2=NC=C(Br)C(N[C@H](C)C(C)(C)O)=N2)=CC=C1S(C)(=N)=O,2,8.7,1
C[C@H](NC1=NC(NC2=CC=C(S(C)(=N)=O)C=C2)=NC=C1Br)C(C)(C)O,2,8.7,1
C[C@H](O)[C@@H](C)NC1=NC(NC2=CC=C(S(C)(=N)=O)C=C2)=NC=C1Br,2,8.7,1
COC[C@H](NC1=NC(NC2=CC=C(S(C)(=N)=O)C=C2)=NC=C1Br)[C@H](C)O,6,8.22,1
CCS(=N)(=O)C1=CC=C(NC2=NC=C(Br)C(N[C@H](COC)[C@@H](C)O)=N2)C=C1,9,8.05,1
CCS(=N)(=O)C1=CC=C(NC2=NC=C(Br)C(N[C@@H](COC)[C@H](C)O)=N2)C=C1,9,8.05,1
CC(C)C(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1,5,8.3,1
CC(C)(C)C(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1,17,7.77,1
CC(C)OC(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1,25,7.6,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)NC3=CC=C(F)C=C3)S2)O1,11,7.96,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)NC3=C(F)C=CC=C3F)S2)O1,2,8.7,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)NC3=C(Cl)C=CC=C3Cl)S2)O1,3,8.52,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)CC3=CC=C(CNC(CO)CO)C=C3)S2)O1,3,8.52,1
CCC1=CN=C(CSC2=CN=C(NC(=O)C(C)C)S2)O1,5,8.3,1
CCC1=CN=C(CSC2=CN=C(NC(=O)CC3=CC=CN=C3)S2)O1,5,8.3,1
CC(=O)NC1=NC=C(SCC2=NC=C(C(C)C)O2)S1,6,8.22,1
CC(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1,5,8.3,1
CC(C)C(=O)NC1=NC=C([S+]([O-])CC2=NC=C(C(C)(C)C)O2)S1,140,6.85,1
CC(C)C(=O)NC1=NC=C(S(=O)(=O)CC2=NC=C(C(C)(C)C)O2)S1,250,6.6,1
CC(=O)NC1=NC=C(SCC(=O)O)S1,25000,4.6,0
CC(=O)NC1=NC=C(SCC(O)CC(C)(C)C)S1,2810,5.55,0
CC(=O)NC1=NC=C(SCC(=O)CC(C)(C)C)S1,1840,5.74,0
CC(=O)NC1=NC=C(SCCOC(C)(C)C)S1,1740,5.76,0
CC(=O)NC1=NC=C(SCCC2=CC=CC=C2)S1,12580,4.9,0
CCN(C)C(=O)CSC1=CN=C(NC(C)=O)S1,25000,4.6,0
CC(=O)NC1=NC=C(SCC2=NC=C(CC3CCCCC3)O2)S1,4,8.4,1
CCC1=COC(CSC2=CN=C(NC(C)=O)S2)=N1,200,6.7,1
CC(=O)NC1=NC=C(SCC2=NC(C)=C(C)O2)S1,360,6.44,1
CC(=O)NC1=NC=C(SCC2=NC=C(C)O2)S1,90,7.05,1
CC(=O)NC1=NC=C(SCC2=NC=C(C3=CC=CC=C3)O2)S1,350,6.46,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)C3=CC=CC=C3)S2)O1,26,7.59,1
C[C@@H](C(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1)C1=CC=CC=C1,6,8.22,1
C[C@H](C(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1)C1=CC=CC=C1,60,7.22,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)OCC3=CC=CC=C3)S2)O1,150,6.82,1
CC(C)(C)C1=CN=C(CSC2=CN=C(NS(=O)(=O)C3=CC=CC=C3)S2)O1,4280,5.37,0
CC(C)C(=O)N(C)C1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1,25000,4.6,0
CCNC(=O)NC1=NC=C(SCC2=NC=C(C(C)(C)C)O2)S1,50,7.3,1
CC(=O)NC1=NN=C(SCC(=O)OC(C)(C)C)S1,25000,4.6,0
CC(=O)NC1=CN=C(SCC2=NC=C(C(C)(C)C)O2)S1,25000,4.6,0
CC(=O)NC1=NC=C(SCC(C)C)S1,1000,6,1
CC(=O)NC1=NC=C(SCC2=CC=CC=N2)S1,1000,6,1
CC(=O)NC1=NC=C(SCC2=CC=CN=C2)S1,680,6.17,1
CC(=O)NC1=NC=C(SCC2=CC=NC=C2)S1,1000,6,1
COC(=O)C1=CC=C(CSC2=CN=C(NC(C)=O)S2)O1,1000,6,1
CC(=O)NC1=NC(CSC2=CN=C(NC(C)=O)S2)=CS1,1000,6,1
CC(=O)NC1=NC=C(SCC2=C(C)ON=C2C)S1,1000,6,1
CC(=O)NC1=NC=C(SCC2=C(Cl)SN=N2)S1,1000,6,1
CCC(CC)CSC1=CN=C(NC(C)=O)S1,1000,6,1
CC(=O)NC1=NC=C(SCCOC2=CC=CC=C2)S1,1000,6,1
COCCSC1=CN=C(NC(C)=O)S1,1000,6,1
CCN1C(=O)C=CC2=CN=C(NC3=CC=CC=C3)N=C21,129,6.89,1
CCN1C(=O)C=CC2=CN=C(NC3=CC=CC(OC(F)(F)C(F)F)=C3)N=C21,238,6.62,1
CCCN1C(=O)C=CC2=CN=C(NC3=CC=CC=C3)N=C21,50,7.3,1
CCCCN1C(=O)C=CC2=CN=C(NC3=CC=CC=C3)N=C21,37,7.43,1
CC(C)N1C(=O)C=CC2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3)N=C21,58,7.24,1
CN1CCN(C2=CC=C(NC3=NC=C4C=CC(=O)N(C5CCCCC5)C4=N3)C=C2)CC1,15,7.82,1
O=C1C=CC2=CN=C(NC3=CC=C(N4CCC(CCCO)CC4)C=C3)N=C2N1C1CC2CCC1C2,165,6.78,1
O=C1NC(=O)C2=C3C4=CC=CC5=C4N(C3=C3NC4=CC=CC=C4C3=C12)C(CO)CC5,219,6.66,1
O=C1NC(=O)C2=C3C4=CC=CC5=C4N(CC(CO)C5)C3=C3NC4=CC=CC=C4C3=C12,217,6.66,1
O=C1NC(=O)C2=C3C4=CC=CC5=C4N(C3=C3NC4=CC(F)=CC=C4C3=C12)C(CO)CC5,79,7.1,1
O=C1NC(=O)C2=C3C4=CC=CC5=C4N(CC(CO)C5)C3=C3NC4=CC(F)=CC=C4C3=C12,141,6.85,1
O=C1NC(=O)C2=C3C4=CC=CC5=C4N(CC(CO)C5)C3=C3NC4=CC(Br)=CC=C4C3=C12,2000,5.7,0
COC1=CC=C2C(=C1)NC1=C2C2=C(C(=O)NC2=O)C2=C1N1CC(CO)CC3=CC=CC2=C31,284,6.55,1
O=C1NC(=O)C2=C3C4=CC=CC5=C4N(CC(CO)C5)C3=C3C=CC4=CC=CC=C4C3=C12,2000,5.7,0
CN1C=CC2=CC=C3C(=C21)C1=C(C(=O)NC1=O)C1=C3N2CC(CO)CC3=C2C1=CC=C3,650,6.19,1
COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C31,260,6.59,1
O=C1NC(=O)C2=C1C1=C(NC3=CC=CC=C31)C1=C2C2=CC=CC=C2N1,135,6.87,1
O=C1NC(=O)C2=C1C1=C3C4=C2C2=CC=CC=C2N4C2CCC(O2)N3C2=CC=CC=C12,680,6.17,1
O=C1NC(=O)C(C2=CNC3=CC=CC=C23)=C1C1=CNC2=CC=CC=C12,11690,4.93,0
CN1C=C(C2=C(C3=CNC4=CC(F)=CC=C34)C(=O)NC2=O)C2=CC=CC=C21,1500,5.82,0
CN1C2=CC=CC=C2C2=C3C(=O)NC(=O)C3=C3C4=CC=C(F)C=C4NC3=C21,140,6.85,1
CN1C=C(C2=C(C3=CNC4=CC(Br)=CC=C34)C(=O)NC2=O)C2=CC=CC=C21,1880,5.73,0
O=C1NC(=O)C2=C3C4=CC=CC=C4N(CCCO)C3=C3NC4=CC=CC=C4C3=C12,180,6.74,1
CNCCCN1C2=CC=CC=C2C2=C3C(=O)NC(=O)C3=C3C4=CC=CC=C4NC3=C21,160,6.8,1
CN(C)CCCN1C=C(C2=C(C3=CNC4=CC=CC=C34)C(=O)NC2=O)C2=CC=CC=C21,10180,4.99,0
CN1C=C(C2=C(C3=CNC4=CC=CC=C34)C(=O)NC2=O)C2=CC=CC=C21,1950,5.71,0
